1,10
2,21
3,21
4,13
5,6
6,9
7,14
8,33
9,16
10,43
11,14
12,10
13,26
14,5
15,10
16,1
17,36
18,11
19,12
20,4
21,37
22,12
23,9
24,4
25,12
26,20
27,12
28,21
29,3
30,16
31,14
32,21
33,10
34,47
35,41
36,15
37,36
38,4
39,11
40,17
41,17
42,31
43,21
44,3
45,29
46,13
47,21
48,16
49,14
50,10
51,17
52,28
53,24
54,25
55,21
56,1
57,7
58,29
59,3
60,17
61,15
62,23
63,7
64,9
65,17
66,29
67,24
68,27
69,9
70,25
71,13
72,12
73,15
74,9
75,22
76,12
77,5
78,11
79,6
80,1
81,3
82,39
83,38
84,19
85,23
86,6
87,14
88,18
89,13
90,6
91,12
92,16
93,11
94,19
95,32
96,20
97,28
98,30
99,22
100,24
101,30
102,26
103,22
104,16
105,11
106,15
107,12
108,13
109,12
110,7
111,24
112,15
113,21
114,18
115,31
116,0
117,9
118,20
119,6
120,19
121,32
122,9
123,13
124,9
125,20
126,31
127,14
128,13
129,30
130,15
131,23
132,14
133,19
134,18
135,9
136,6
137,18
138,38
139,16
140,18
141,7
142,19
143,13
144,23
145,12
146,42
147,14
148,20
149,24
150,1
151,8
152,18
153,16
154,18
155,40
156,3
157,18
158,34
159,15
160,1
161,31
162,2
163,26
164,38
165,26
166,16
167,40
168,1
169,16
170,7
171,37
172,29
173,69
174,23
175,8
176,6
177,33
178,22
179,11
180,30
181,27
182,9
183,23
184,2
185,25
186,9
187,21
188,28
189,14
190,10
191,17
192,31
193,34
194,15
195,13
196,18
197,15
198,11
199,21
200,16
201,26
202,9
203,10
204,19
205,26
206,16
207,29
208,19
209,16
210,24
211,28
212,35
213,15
214,18
215,10
216,12
217,9
218,21
219,4
220,17
221,32
222,30
223,11
224,26
225,15
226,7
227,30
228,19
229,6
230,20
231,7
232,18
233,9
234,0
235,37
236,24
237,14
238,19
239,20
240,23
241,32
242,11
243,21
244,12
245,28
246,31
247,20
248,16
249,28
250,39
251,12
252,11
253,11
254,26
255,22
256,12
257,10
258,10
259,34
260,9
261,15
262,8
263,16
264,12
265,10
266,13
267,9
268,15
269,7
270,7
271,18
272,17
273,37
274,26
275,8
276,6
277,11
278,9
279,9
280,4
281,2
282,36
283,17
284,18
285,37
286,14
287,4
288,24
289,24
290,12
291,19
292,8
293,3
294,18
295,17
296,11
297,8
298,11
299,10
300,12
